# sep	energy	f1x	f1y	f1z	f2x	f2y	f2z	t1x	t1y	t1z	t2x	t2y	t2z
15.600	-36.2681	1.08468789506e-13	21.320086926	-1.40332190313e-13	6.75015598972e-14	-21.320086926	-1.1901590824e-13	2.21689333557e-12	-0.00314724336107	-9.47020240005e-14	-2.16004991671e-12	-0.00314724335874	9.36750677027e-17
15.700	-33.7776	1.28785870857e-14	19.728032	-1.38555833473e-13	2.30926389122e-14	-19.728032	-1.27897692437e-13	2.27373675443e-12	-0.00399287395794	2.01394539934e-10	-1.74082970261e-12	-0.0039928739605	-1.11022302463e-16
15.800	-31.3783	-4.09117184574e-14	18.258586	-3.23296944771e-13	-7.54951656745e-15	-18.2585860002	-1.13686837722e-13	2.87059265247e-12	0.000734700341116	2.01395206068e-10	-1.2576606423e-12	0.000734700341582	0.0
15.900	-29.4038	2.85327317329e-14	16.995442	5.86197757002e-14	1.04360964315e-13	-16.995442	-1.81188397619e-13	1.73372427525e-12	-0.00190998949705	2.01394984023e-10	-8.95283847058e-13	-0.00190998949839	-3.46944695195e-18
16.000	-27.5847	-1.95399252334e-14	15.827402	8.52651282912e-14	-4.35207425653e-14	-15.8274020002	-2.16715534407e-13	4.23483470513e-12	-0.00102366839973	2.0139506729e-10	2.07478478842e-12	-0.00102366839948	3.46944695195e-18
16.100	-25.9847	5.73985303731e-14	14.792698	-7.9936057773e-14	4.66293670343e-14	-14.7926980002	-2.09610107049e-13	-1.90425453184e-12	-0.000974258699262	2.0139506729e-10	-7.95807864051e-13	-0.000974258697653	3.46944695195e-18
16.200	-24.3405	3.74145159299e-14	13.75981	-3.19744231092e-13	7.77156117238e-14	-13.75981	-1.27897692437e-13	-1.39266376209e-12	0.00184270770037	2.0139506729e-10	-2.55795384874e-12	0.00184270770177	0.0
16.300	-22.9394	1.44328993201e-15	12.869528	-1.58095758707e-13	-8.12683254026e-14	-12.8695280002	-2.20268248086e-13	4.68958205602e-12	0.00258622199973	2.01395511379e-10	-3.14770431942e-12	0.00258622200269	0.0
16.400	-20.8532	1.44884104714e-14	11.729616	-1.95399252334e-13	1.33226762955e-14	-11.7296159997	-1.13686837722e-13	2.87059265247e-12	-0.0018257163938	2.01395511379e-10	2.10320649785e-12	-0.00182571639897	0.0
16.500	-19.5764	2.93653990013e-14	10.926744	-1.79412040779e-13	6.43929354283e-14	-10.9267440002	-1.06581410364e-13	2.52953213931e-12	0.000407014302031	2.01394567689e-10	-1.79056769412e-12	0.000407014302482	0.0
16.600	-18.3416	-1.06581410364e-14	10.17049	-7.1054273576e-15	-5.77315972805e-14	-10.1704900002	0.0	1.81898940355e-12	0.0022507611	2.01394567689e-10	-3.01270119962e-12	0.00225076110118	-5.55111512313e-17
16.700	-17.2499	6.38378239159e-14	9.49453799995	-1.06581410364e-14	8.08242361927e-14	-9.494538	-2.48689957516e-14	2.47268872045e-12	-0.000386894300981	2.01394900756e-10	-1.81188397619e-12	-0.000386894300306	-1.11022302463e-16
